class,tweet,cleaned_text
0,"I LOVE my 10 &amp; 5 but most days they remind me why birth control is important later in life.

I miss my ""baby bird""! Come home, 18!
@somehoee","['love', 'my', 'amp', 'but', 'most', 'days', 'they', 'remind', 'me', 'why', 'birth', 'control', 'is', 'important', 'later', 'in', 'life', 'miss', 'my', 'baby', 'bird', 'come', 'home']"
1,She be thinking she throwing that pussy back so good and all she doing is throwing ya nut process off,"['she', 'be', 'thinking', 'she', 'throwing', 'that', 'pussy', 'back', 'so', 'good', 'and', 'all', 'she', 'doing', 'is', 'throwing', 'ya', 'nut', 'process', 'off']"
1,RT @lamessican: I love when bitches throw shade. Just confirms i'm doing something right &#128514;,"['love', 'when', 'bitches', 'throw', 'shade', 'just', 'confirms', 'doing', 'something', 'right']"
1,"If you ain't a hoe, get up out my trap house @Reptar_07 .","['if', 'you', 'ain', 'hoe', 'get', 'up', 'out', 'my', 'trap', 'house']"
0,Just hit 40 in flappy bird.&#128527;,"['just', 'hit', 'in', 'flappy', 'bird']"
0,"WEBBERS! RT @DMILZ4: Sz13 vnds restorers dream, cracked midsole, sole separation, and fogged bubbles. 150 http://t.co/yC81VG2kg1","['sz', 'vnds', 'restorers', 'dream', 'cracked', 'midsole', 'sole', 'separation', 'and', 'fogged', 'bubbles', 'http', 'co', 'yc', 'vg', 'kg']"
0,RT @jemelehill: Just saw Dawn of The Planet of the Apes. One of the better moves I've seen this year. I didn't know if I wanted the apes or&#8230;,"['just', 'saw', 'dawn', 'of', 'the', 'planet', 'of', 'the', 'apes', 'one', 'of', 'the', 'better', 'moves', 've', 'seen', 'this', 'year', 'didn', 'know', 'if', 'wanted', 'the', 'apes', 'or']"
1,RT @femaIes: I swear &#128514; we in this forever now bitch http://t.co/293YMZDmun,"['swear', 'we', 'in', 'this', 'forever', 'now', 'bitch', 'http', 'co', 'ymzdmun']"
0,"Moral to the story: If you like the Yanks, I'll pretty much do anything you tell me to do.","['if', 'you', 'like', 'the', 'yanks', 'll', 'pretty', 'much', 'do', 'anything', 'you', 'tell', 'me', 'to', 'do']"
1,"Dayum u gyp, u gone have mfs thinking im wiping my face w/pissy diapers n shyt grrrrrr","['dayum', 'gyp', 'gone', 'have', 'mfs', 'thinking', 'im', 'wiping', 'my', 'face', 'pissy', 'diapers', 'shyt', 'grrrrrr']"
